CRS,REGIAO_SAU,MUNICIPIOS,TOTAL_DOSES_LIBERADAS,TRAB_SAUDE_70,TRAB_SAUDE_70_VAC,INDIGENAS,INDIGENAS_VAC,MAIOR_60,MAIOR_60_VAC,IDOSOS_80e,IDOSOS_80e_VAC,META_1a_FASE,TOTAL_VAC,TOTAL_VAC_LOCALIZA
6 CRS,TOCANTINS,ABAETETUBA,3062,1664,1747,0,0,0,0,1946,175,3610,1922,1455
11 CRS,CARAJAS,ABEL FIGUEIREDO,163,82,87,0,0,0,0,97,0,179,87,73
2 CRS,METROPOLITANA II,ACARA,647,315,324,0,0,0,2,551,0,866,326,355
7 CRS,MARAJO I,AFUA,798,331,315,0,0,0,0,335,0,666,315,299
12 CRS,ARAGUAIA,AGUA AZUL DO NORTE,340,201,135,0,0,0,0,117,0,318,135,137
9 CRS,BAIXO AMAZONAS,ALENQUER,1584,449,391,0,0,7,0,821,565,1277,956,963
9 CRS,BAIXO AMAZONAS,ALMEIRIM,1510,308,303,614,369,0,0,319,183,1241,855,476
10 CRS,XINGU,ALTAMIRA,11994,2017,2258,3294,399,0,0,1241,76,6552,2733,1788
8 CRS,MARAJO II,ANAJAS,440,158,190,0,0,0,0,214,30,372,220,209
1 CRS,METROPOLITANA I,ANANINDEUA,11990,6350,6505,0,0,11,20,5466,2404,11827,8929,3346
10 CRS,XINGU,ANAPU,416,223,154,386,0,0,0,162,1,771,155,245
4 CRS,RIO CAETES,AUGUSTO CORREA,603,303,324,0,0,0,0,463,,766,324,320
5 CRS,METROPOLITANA III,AURORA DO PARA,390,201,201,28,0,0,0,279,0,508,201,191
9 CRS,TAPAJOS,AVEIRO,1030,105,116,490,194,0,0,220,70,815,380,196
8 CRS,MARAJO II,BAGRE,428,182,204,0,0,0,0,153,0,335,204,195
13 CRS,TOCANTINS,BAIAO,758,285,202,39,0,0,0,398,0,722,202,188
12 CRS,ARAGUAIA,BANNACH,302,64,65,90,0,0,0,46,0,200,65,49
6 CRS,TOCANTINS,BARCARENA,2852,1560,1608,0,0,0,1,952,261,2512,1870,1767
1 CRS,METROPOLITANA I,BELEM,67670,34279,17496,0,0,172,264,26178,11871,60629,29631,14234
9 CRS,BAIXO AMAZONAS,BELTERRA,1196,153,137,307,0,0,0,312,220,772,357,149
1 CRS,METROPOLITANA I,BENEVIDES,943,476,523,0,0,0,0,623,20,1099,543,508
11 CRS,CARAJAS,BOM JESUS DO TOCANTINS,1356,165,183,507,326,0,0,199,0,871,508,176
4 CRS,RIO CAETES,BONITO,204,95,123,0,0,0,0,149,,244,123,118
4 CRS,RIO CAETES,BRAGANCA,2569,1310,1458,0,0,0,0,1579,110,2889,1568,1392
10 CRS,XINGU,BRASIL NOVO,328,158,117,0,0,0,0,226,0,384,117,102
11 CRS,CARAJAS,BREJO GRANDE DO ARAGUAIA,150,71,80,0,0,0,0,110,0,181,80,83
11 CRS,LAGO TUCURUI,BREU BRANCO,633,284,322,0,0,5,5,549,0,838,327,312
8 CRS,MARAJO II,BREVES,2234,792,895,0,0,0,0,1039,112,1831,1007,769
2 CRS,METROPOLITANA II,BUJARU,299,133,164,0,0,0,0,323,0,456,164,166
7 CRS,MARAJO I,CACHOEIRA DO ARARI,482,97,143,0,0,0,0,133,0,230,143,162
4 CRS,RIO CAETES,CACHOEIRA DO PIRIA,329,190,151,0,0,0,0,355,,545,151,150
13 CRS,TOCANTINS,CAMETA,2143,1055,1172,0,0,0,0,1696,0,2751,1172,775
11 CRS,CARAJAS,CANAA DOS CARAJAS,1103,571,655,16,0,0,0,154,0,741,655,606
4 CRS,RIO CAETES,CAPANEMA,2684,1427,1227,0,0,19,19,1161,23,2607,1269,1158
5 CRS,METROPOLITANA III,CAPITAO POCO,1016,516,551,0,0,0,0,718,25,1234,576,975
3 CRS,METROPOLITANA III,CASTANHAL,4606,2464,2328,0,0,38,0,2282,0,4784,2328,2733
7 CRS,MARAJO I,CHAVES,432,142,149,0,0,0,0,223,7,365,156,142
2 CRS,METROPOLITANA II,COLARES,245,111,119,0,0,0,0,246,0,357,119,112
12 CRS,ARAGUAIA,CONCEICAO DO ARAGUAIA,1846,854,908,0,0,10,0,836,240,1700,1148,1009
2 CRS,METROPOLITANA II,CONCORDIA DO PARA,429,211,236,0,0,0,0,345,0,556,236,237
12 CRS,ARAGUAIA,CUMARU DO NORTE,1772,124,141,816,10,0,0,35,0,975,151,57
11 CRS,CARAJAS,CURIONOPOLIS,361,159,146,0,0,0,5,323,0,482,151,76
8 CRS,MARAJO II,CURRALINHO,512,167,195,0,0,0,0,281,45,448,240,307
9 CRS,BAIXO AMAZONAS,CURUA,266,85,95,0,0,0,0,125,105,210,200,165
3 CRS,METROPOLITANA III,CURUCA,696,309,485,0,0,0,0,753,0,1062,485,508
5 CRS,CARAJAS,DOM ELISEU,842,514,328,0,0,0,0,415,0,929,328,334
11 CRS,CARAJAS,ELDORADO DOS CARAJAS,383,187,225,0,0,0,0,283,0,470,225,193
9 CRS,BAIXO AMAZONAS,FARO,334,152,163,0,0,0,0,96,92,248,255,238
12 CRS,ARAGUAIA,FLORESTA DO ARAGUAIA,434,230,135,0,0,0,0,199,0,429,135,133
5 CRS,METROPOLITANA III,GARRAFAO DO NORTE,738,506,274,0,0,0,0,296,7,802,281,302
11 CRS,LAGO TUCURUI,GOIANESIA DO PARA,608,280,262,42,39,0,0,276,0,598,301,160
8 CRS,MARAJO II,GURUPA,312,336,328,0,0,0,0,284,0,620,328,313
3 CRS,METROPOLITANA III,IGARAPE-ACU,701,334,374,0,0,0,0,614,0,948,374,374
6 CRS,TOCANTINS,IGARAPE-MIRI,942,466,489,0,0,0,0,814,40,1280,529,499
3 CRS,METROPOLITANA III,INHANGAPI,191,89,106,0,0,0,0,152,0,241,106,141
5 CRS,METROPOLITANA III,IPIXUNA DO PARA,774,387,412,0,0,0,0,252,14,639,426,464
5 CRS,METROPOLITANA III,IRITUIA,524,272,261,0,0,0,0,534,0,806,261,239
9 CRS,TAPAJOS,ITAITUBA,4199,1222,1206,672,219,29,26,1032,520,2955,1972,1453
11 CRS,CARAJAS,ITUPIRANGA,1471,311,329,283,0,13,12,470,0,1077,341,301
9 CRS,TAPAJOS,JACAREACANGA,9742,187,84,4964,714,0,0,34,3,5185,801,351
11 CRS,LAGO TUCURUI,JACUNDA,736,288,336,42,0,0,0,556,0,886,336,294
9 CRS,BAIXO AMAZONAS,JURUTI,1392,536,502,0,0,0,0,496,340,1032,842,143
13 CRS,TOCANTINS,LIMOEIRO DO AJURU,437,204,238,0,0,0,0,286,0,490,238,139
5 CRS,METROPOLITANA III,MAE DO RIO,580,257,317,0,0,0,0,418,0,675,317,277
3 CRS,METROPOLITANA III,MAGALHAES BARATA,150,69,71,0,0,0,0,160,0,229,71,74
11 CRS,CARAJAS,MARABA,5449,2773,2976,0,0,25,43,2173,0,4971,3019,419
3 CRS,METROPOLITANA III,MARACANA,485,218,229,0,0,0,0,548,0,766,229,202
3 CRS,METROPOLITANA III,MARAPANIM,750,368,400,0,0,0,0,590,0,958,400,387
1 CRS,METROPOLITANA I,MARITUBA,2251,1290,1125,0,0,43,43,929,38,2262,1206,1587
10 CRS,XINGU,MEDICILANDIA,379,171,233,0,0,7,7,254,0,432,240,270
8 CRS,MARAJO II,MELGACO,522,246,216,0,0,0,0,129,15,375,231,186
13 CRS,TOCANTINS,MOCAJUBA,482,214,217,0,0,0,0,463,0,677,217,201
6 CRS,TOCANTINS,MOJU,858,307,322,87,69,0,0,668,26,1062,418,222
9 CRS,BAIXO AMAZONAS,MOJUI DOS CAMPOS,464,126,133,0,0,0,0,261,199,387,332,0
9 CRS,BAIXO AMAZONAS,MONTE ALEGRE,1596,382,383,0,0,0,0,951,778,1333,1161,989
7 CRS,MARAJO I,MUANA,588,182,210,0,0,0,0,360,94,542,304,211
5 CRS,METROPOLITANA III,NOVA ESPERANCA DO PIRIA,254,138,145,0,0,0,0,129,0,267,145,149
11 CRS,CARAJAS,NOVA IPIXUNA,250,122,135,0,0,0,0,165,0,287,135,130
4 CRS,RIO CAETES,NOVA TIMBOTEUA,304,130,162,0,0,0,0,301,0,431,162,28
9 CRS,TAPAJOS,NOVO PROGRESSO,1842,209,238,0,0,0,0,96,19,305,257,284
11 CRS,LAGO TUCURUI,NOVO REPARTIMENTO,2314,608,489,443,0,0,0,536,0,1587,489,453
9 CRS,BAIXO AMAZONAS,OBIDOS,2999,421,412,1259,404,0,0,734,494,2414,1310,608
13 CRS,TOCANTINS,OEIRAS DO PARA,469,243,260,0,0,0,0,285,0,528,260,145
9 CRS,BAIXO AMAZONAS,ORIXIMINA,4465,578,683,1519,1411,0,0,814,758,2911,2852,2229
4 CRS,RIO CAETES,OUREM,265,113,142,0,0,0,0,283,30,396,172,65
12 CRS,ARAGUAIA,OURILANDIA DO NORTE,2950,562,665,929,63,4,4,166,0,1661,732,242
10 CRS,XINGU,PACAJA,528,242,204,0,0,0,0,377,0,619,204,189
11 CRS,CARAJAS,PALESTINA DO PARA,162,73,92,0,0,0,0,112,0,185,92,90
5 CRS,METROPOLITANA III,PARAGOMINAS,4077,1391,1450,612,494,18,18,690,33,2711,1995,1374
11 CRS,CARAJAS,PARAUAPEBAS,5998,2139,2384,1057,1,17,17,808,0,4021,2402,1911
12 CRS,ARAGUAIA,PAU D ARCO,554,99,59,188,6,0,0,73,1,360,66,0
4 CRS,RIO CAETES,PEIXE-BOI,159,69,72,0,0,0,0,178,0,247,72,0
11 CRS,CARAJAS,PICARRA,210,106,116,0,0,0,0,124,0,230,116,108
9 CRS,BAIXO AMAZONAS,PLACAS,492,195,197,0,0,0,0,150,140,345,337,168
7 CRS,MARAJO I,PONTA DE PEDRAS,568,164,198,0,0,0,0,352,34,516,232,331
8 CRS,MARAJO II,PORTEL,820,298,315,0,0,0,0,428,0,726,315,294
10 CRS,XINGU,PORTO DE MOZ,456,222,260,7,0,0,0,250,0,479,260,229
9 CRS,BAIXO AMAZONAS,PRAINHA,636,215,226,0,0,0,0,287,283,502,509,482
4 CRS,RIO CAETES,PRIMAVERA,270,104,147,0,0,0,0,242,0,346,147,143
4 CRS,RIO CAETES,QUATIPURU,206,99,101,0,0,0,0,218,0,317,101,98
12 CRS,ARAGUAIA,REDENCAO,2782,1228,1507,50,28,13,38,969,0,2260,1573,1191
12 CRS,ARAGUAIA,RIO MARIA,428,218,153,0,0,0,0,222,0,440,153,151
11 CRS,CARAJAS,RONDON DO PARA,723,355,389,0,0,0,0,528,0,883,389,354
9 CRS,TAPAJOS,RUROPOLIS,878,321,351,0,0,0,0,337,150,658,501,573
4 CRS,RIO CAETES,SALINOPOLIS,633,321,339,0,0,0,0,476,0,797,339,324
7 CRS,MARAJO I,SALVATERRA,452,116,135,0,0,0,0,321,2,437,138,130
1 CRS,METROPOLITANA I,SANTA BARBARA DO PARA,378,191,235,0,0,0,0,236,6,427,241,201
7 CRS,MARAJO I,SANTA CRUZ DO ARARI,236,110,99,0,0,0,0,98,0,208,99,94
2 CRS,METROPOLITANA II,SANTA ISABEL DO PARA,1275,660,645,0,0,0,45,794,0,1454,690,0
4 CRS,RIO CAETES,SANTA LUZIA DO PARA,1366,182,185,453,479,0,0,315,42,950,706,162
12 CRS,ARAGUAIA,SANTA MARIA DAS BARREIRAS,461,225,101,36,0,0,0,209,0,470,101,114
5 CRS,METROPOLITANA III,SANTA MARIA DO PARA,1098,272,211,287,159,0,0,424,0,983,370,351
12 CRS,ARAGUAIA,SANTANA DO ARAGUAIA,708,335,490,27,30,13,13,349,0,724,533,156
9 CRS,BAIXO AMAZONAS,SANTAREM,20206,4562,3404,3756,1810,30,30,4070,2344,12418,7588,3518
4 CRS,RIO CAETES,SANTAREM NOVO,136,64,68,0,0,0,0,98,9,162,77,65
2 CRS,METROPOLITANA II,SANTO ANTONIO DO TAUA,428,209,203,0,0,0,0,363,0,572,203,183
2 CRS,METROPOLITANA II,SAO CAETANO DE ODIVELAS,264,127,133,0,0,0,0,294,0,421,133,127
11 CRS,CARAJAS,SAO DOMINGOS DO ARAGUAIA,499,193,222,26,0,0,0,461,0,680,222,211
