CRS,REGIAO_SAU,MUNICIPIOS,TOTAL_DOSES_LIBERADAS,TRAB_SAUDE_75,TRAB_SAUDE_75_VAC_D1,TRAB_SAUDE_75_VAC_D2,INDIGENAS,INDIGENAS_VAC_D1,INDIGENAS_VAC_D2,MAIOR_60,MAIOR_60_VAC_D1,MAIOR_60_VAC_D2,IDOSOS_90e,IDOSOS_90e_VAC_D1,IDOSOS_90e_VAC_D2,META_1a_FASE,TOTAL_VAC_D1,TOTAL_VAC_D2,TOTAL_VAC,TOTAL_VAC_SIPNI,FUN_BUT,FUN_OSW,DoA,DoB
6 CRS,TOCANTINS,ABAETETUBA,3062,1610,1747,0,0,0,0,0,0,0,1946,175,0,3610,1922,0,1922,1455,934,521,1455,0
11 CRS,CARAJAS,ABEL FIGUEIREDO,163,97,87,0,0,0,0,0,0,0,97,0,0,179,87,0,87,73,34,39,73,0
2 CRS,METROPOLITANA II,ACARA,647,376,324,0,0,0,0,0,2,0,551,0,0,866,326,0,326,355,211,144,355,0
7 CRS,MARAJO I,AFUA,798,333,315,0,0,0,0,0,0,0,335,120,0,666,435,0,435,314,205,109,313,1
12 CRS,ARAGUAIA,AGUA AZUL DO NORTE,340,156,135,0,0,0,0,0,0,0,117,0,0,318,135,0,135,138,98,40,138,0
9 CRS,BAIXO AMAZONAS,ALENQUER,1584,521,391,147,0,0,0,7,0,0,821,571,0,1277,962,147,1109,1048,392,656,909,139
9 CRS,BAIXO AMAZONAS,ALMEIRIM,1510,282,303,25,614,369,0,0,0,0,319,183,0,1241,855,25,880,525,215,310,485,40
10 CRS,XINGU,ALTAMIRA,7874,3116,2308,255,3294,481,0,0,0,0,1241,117,0,6552,2906,255,3161,1961,1108,853,1960,1
8 CRS,MARAJO II,ANAJAS,440,184,190,40,0,0,0,0,0,0,214,70,0,372,260,40,300,257,177,80,225,32
1 CRS,METROPOLITANA I,ANANINDEUA,11990,7679,6505,1334,0,0,0,11,20,16,5466,3572,0,11827,10097,1350,11447,3877,3877,0,3876,1
10 CRS,XINGU,ANAPU,416,255,154,13,386,193,0,0,0,0,162,1,0,771,348,13,361,347,326,21,340,7
4 CRS,RIO CAETES,AUGUSTO CORREA,603,338,324,0,0,0,0,0,0,0,463,48,0,766,372,0,372,372,231,141,346,26
5 CRS,METROPOLITANA III,AURORA DO PARA,390,195,201,0,28,0,0,0,0,0,279,0,0,508,201,0,201,191,115,76,191,0
9 CRS,TAPAJOS,AVEIRO,1030,124,116,30,490,194,0,0,0,0,220,80,0,815,390,30,420,323,274,49,307,16
8 CRS,MARAJO II,BAGRE,428,207,204,96,0,0,0,0,0,0,153,20,0,335,224,96,320,215,124,91,215,0
13 CRS,TOCANTINS,BAIAO,758,327,241,90,39,0,0,0,0,0,398,0,0,722,241,90,331,216,154,62,216,0
12 CRS,ARAGUAIA,BANNACH,302,74,65,0,90,0,0,0,0,0,46,0,0,200,65,0,65,49,30,19,49,0
6 CRS,TOCANTINS,BARCARENA,2852,1866,1608,206,0,0,0,0,1,0,952,261,0,2512,1870,206,2076,1918,1180,738,1768,150
1 CRS,METROPOLITANA I,BELEM,67670,48613,17496,0,0,0,0,172,264,0,26178,11871,0,60629,29631,0,29631,15785,15785,0,15784,1
9 CRS,BAIXO AMAZONAS,BELTERRA,1196,128,137,,307,0,0,0,0,0,312,220,0,772,357,0,357,208,179,29,208,0
1 CRS,METROPOLITANA I,BENEVIDES,943,600,523,83,0,0,0,0,0,0,623,42,0,1099,565,83,648,642,642,0,534,108
11 CRS,CARAJAS,BOM JESUS DO TOCANTINS,1356,193,183,0,507,326,0,0,0,0,199,0,0,871,508,0,508,226,145,81,225,1
4 CRS,RIO CAETES,BONITO,204,135,123,18,0,0,0,0,0,0,149,0,0,244,123,18,141,130,64,66,118,12
4 CRS,RIO CAETES,BRAGANCA,2569,1581,1471,616,0,0,0,0,0,0,1579,115,0,2889,1586,616,2202,2143,1498,645,1572,571
10 CRS,XINGU,BRASIL NOVO,328,177,119,0,0,0,0,0,0,0,226,5,0,384,124,0,124,114,60,54,114,0
11 CRS,CARAJAS,BREJO GRANDE DO ARAGUAIA,150,90,95,0,0,0,0,0,0,0,110,5,0,181,100,0,100,83,42,41,83,0
11 CRS,LAGO TUCURUI,BREU BRANCO,633,414,322,0,0,0,0,5,5,0,549,10,0,838,337,0,337,325,162,163,325,0
8 CRS,MARAJO II,BREVES,2234,1136,1005,340,0,0,0,0,0,0,1039,427,0,1831,1432,340,1772,1544,1094,450,1427,117
2 CRS,METROPOLITANA II,BUJARU,299,168,164,0,0,0,0,0,0,0,323,0,0,456,164,0,164,166,85,81,166,0
7 CRS,MARAJO I,CACHOEIRA DO ARARI,482,193,143,40,0,0,0,0,0,0,133,30,0,230,173,40,213,187,107,80,158,29
4 CRS,RIO CAETES,CACHOEIRA DO PIRIA,329,158,155,0,0,0,0,0,0,0,355,7,0,545,162,0,162,150,106,44,150,0
13 CRS,TOCANTINS,CAMETA,2143,1261,1196,425,0,0,0,0,0,0,1696,0,0,2751,1196,425,1621,775,544,231,775,0
11 CRS,CARAJAS,CANAA DOS CARAJAS,1103,706,655,0,16,0,0,0,0,0,154,0,0,741,655,0,655,628,339,289,628,0
4 CRS,RIO CAETES,CAPANEMA,2684,1626,1295,41,0,0,0,19,19,15,1161,43,0,2607,1357,56,1413,1323,990,333,1282,41
5 CRS,METROPOLITANA III,CAPITAO POCO,1016,692,551,164,0,0,0,0,0,0,718,53,0,1234,604,164,768,1236,995,241,1033,203
3 CRS,METROPOLITANA III,CASTANHAL,4606,2683,2976,0,0,0,0,38,0,0,2282,0,0,4784,2976,0,2976,3038,2118,920,2468,570
7 CRS,MARAJO I,CHAVES,432,192,149,0,0,0,0,0,0,0,223,7,0,365,156,0,156,145,72,73,145,0
2 CRS,METROPOLITANA II,COLARES,245,129,119,0,0,0,0,0,0,0,246,0,0,357,119,0,119,113,62,51,113,0
12 CRS,ARAGUAIA,CONCEICAO DO ARAGUAIA,1846,1017,908,7,0,0,0,10,0,0,836,240,0,1700,1148,7,1155,1154,747,407,1063,91
2 CRS,METROPOLITANA II,CONCORDIA DO PARA,429,249,236,89,0,0,0,0,0,0,345,29,0,556,265,89,354,281,187,94,250,31
12 CRS,ARAGUAIA,CUMARU DO NORTE,1772,111,141,2,816,10,0,0,0,0,35,0,0,975,151,2,153,65,56,9,65,0
11 CRS,CARAJAS,CURIONOPOLIS,361,188,164,0,0,0,0,0,5,0,323,2,0,482,171,0,171,124,71,53,124,0
8 CRS,MARAJO II,CURRALINHO,512,205,195,84,0,0,0,0,0,0,281,90,0,448,285,84,369,353,265,88,272,81
9 CRS,BAIXO AMAZONAS,CURUA,266,113,95,25,0,0,0,0,0,0,125,105,0,210,200,25,225,165,45,120,165,0
3 CRS,METROPOLITANA III,CURUCA,696,381,508,0,0,0,0,0,0,0,753,0,0,1062,508,0,508,508,348,160,349,159
5 CRS,CARAJAS,DOM ELISEU,842,404,350,15,0,0,0,0,0,0,415,13,0,929,363,15,378,345,200,145,314,31
11 CRS,CARAJAS,ELDORADO DOS CARAJAS,383,216,225,0,0,0,0,0,0,0,283,8,0,470,233,0,233,205,120,85,202,3
9 CRS,BAIXO AMAZONAS,FARO,334,165,163,0,0,0,0,0,0,0,96,92,0,248,255,0,255,274,145,129,232,42
12 CRS,ARAGUAIA,FLORESTA DO ARAGUAIA,434,257,135,14,0,0,0,0,0,0,199,0,0,429,135,14,149,141,90,51,136,5
5 CRS,METROPOLITANA III,GARRAFAO DO NORTE,738,246,280,18,0,0,0,0,0,0,296,9,0,802,289,18,307,302,247,55,285,17
11 CRS,LAGO TUCURUI,GOIANESIA DO PARA,608,296,273,0,42,39,0,0,0,0,276,0,0,598,312,0,312,166,166,0,166,0
8 CRS,MARAJO II,GURUPA,312,295,328,118,0,0,0,0,0,0,284,99,0,620,427,118,545,313,192,121,313,0
3 CRS,METROPOLITANA III,IGARAPE-ACU,701,390,374,0,0,0,0,0,0,0,614,0,0,948,374,0,374,374,189,185,374,0
6 CRS,TOCANTINS,IGARAPE-MIRI,942,524,489,26,0,0,0,0,0,0,814,80,0,1280,569,26,595,574,366,208,545,29
3 CRS,METROPOLITANA III,INHANGAPI,191,122,141,0,0,0,0,0,0,0,152,0,0,241,141,0,141,141,91,50,108,33
5 CRS,METROPOLITANA III,IPIXUNA DO PARA,774,571,415,66,0,0,0,0,0,0,252,14,0,639,429,66,495,464,253,211,412,52
5 CRS,METROPOLITANA III,IRITUIA,524,201,261,0,0,0,0,0,0,0,534,0,0,806,261,0,261,317,239,78,256,61
9 CRS,TAPAJOS,ITAITUBA,4199,1406,1206,0,672,219,0,29,26,0,1032,537,0,2955,1989,0,1989,1602,1415,187,1598,4
11 CRS,CARAJAS,ITUPIRANGA,1471,426,335,0,283,0,0,13,12,0,470,36,0,1077,383,0,383,380,230,150,360,20
9 CRS,TAPAJOS,JACAREACANGA,9742,219,84,0,4964,1150,79,0,0,0,34,23,0,5185,1257,79,1336,433,433,0,432,1
11 CRS,LAGO TUCURUI,JACUNDA,736,417,336,0,42,0,0,0,0,0,556,0,0,886,336,0,336,294,159,135,294,0
9 CRS,BAIXO AMAZONAS,JURUTI,1392,598,576,169,0,0,0,0,0,0,496,366,0,1032,942,169,1111,358,139,219,358,0
13 CRS,TOCANTINS,LIMOEIRO DO AJURU,437,287,238,51,0,0,0,0,0,0,286,0,0,490,238,51,289,211,122,89,210,1
5 CRS,METROPOLITANA III,MAE DO RIO,580,419,330,93,0,0,0,0,0,0,418,3,0,675,333,93,426,431,280,151,327,104
3 CRS,METROPOLITANA III,MAGALHAES BARATA,150,76,74,0,0,0,0,0,0,0,160,0,0,229,74,0,74,79,50,29,67,12
11 CRS,CARAJAS,MARABA,5492,3758,3074,0,0,0,0,25,43,0,2173,112,0,4971,3229,0,3229,580,12,568,580,0
3 CRS,METROPOLITANA III,MARACANA,485,249,229,0,0,0,0,0,0,0,548,0,0,766,229,0,229,207,124,83,207,0
3 CRS,METROPOLITANA III,MARAPANIM,750,431,473,0,0,0,0,0,0,0,590,0,0,958,473,0,473,471,277,194,467,4
1 CRS,METROPOLITANA I,MARITUBA,2251,1060,1154,470,0,0,0,43,43,38,929,56,0,2262,1253,508,1761,1699,1699,0,1239,460
10 CRS,XINGU,MEDICILANDIA,379,229,233,85,0,0,0,7,7,0,254,1,0,432,241,85,326,282,171,111,226,56
8 CRS,MARAJO II,MELGACO,522,288,218,33,0,0,0,0,0,0,129,62,0,375,280,33,313,314,235,79,282,32
13 CRS,TOCANTINS,MOCAJUBA,482,288,217,29,0,0,0,0,0,0,463,0,0,677,217,29,246,204,124,80,203,1
6 CRS,TOCANTINS,MOJU,858,394,322,0,87,69,0,0,0,0,668,38,0,1062,430,0,430,243,211,32,243,0
9 CRS,BAIXO AMAZONAS,MOJUI DOS CAMPOS,464,115,133,0,0,0,0,0,0,0,261,204,0,387,337,0,337,0,0,0,0,0
9 CRS,BAIXO AMAZONAS,MONTE ALEGRE,1596,426,383,163,0,0,0,0,0,0,951,818,0,1333,1201,163,1364,1037,294,743,1030,7
7 CRS,MARAJO I,MUANA,588,220,210,0,0,0,0,0,0,0,360,280,0,542,490,0,490,237,141,96,237,0
5 CRS,METROPOLITANA III,NOVA ESPERANCA DO PIRIA,254,148,145,0,0,0,0,0,0,0,129,0,0,267,145,0,145,189,129,60,141,48
11 CRS,CARAJAS,NOVA IPIXUNA,250,144,135,1,0,0,0,0,0,0,165,16,0,287,151,1,152,138,86,52,137,1
4 CRS,RIO CAETES,NOVA TIMBOTEUA,304,180,162,40,0,0,0,0,0,0,301,0,0,431,162,40,202,35,35,0,35,0
9 CRS,TAPAJOS,NOVO PROGRESSO,1842,270,370,38,0,0,0,0,0,0,96,28,0,305,398,38,436,328,215,113,288,40
11 CRS,LAGO TUCURUI,NOVO REPARTIMENTO,2314,690,489,0,443,0,0,0,0,0,536,0,0,1587,489,0,489,463,320,143,463,0
9 CRS,BAIXO AMAZONAS,OBIDOS,2999,381,412,78,1259,404,0,0,0,0,734,529,0,2414,1345,78,1423,660,212,448,660,0
