CRS,REGIAO_SAU,MUNICIPIO,TOTAL_DOSES_LIBERADAS,TRAB_SAUDE_70,TRAB_SAUDE_70_VAC,INDIGENAS,INDIGENAS_VAC,MAIOR_60,MAIOR_60_VAC,META_1a_FASE,TOTAL_VAC,TOTAL_VAC_ESUS
6º CRS,TOCANTINS,ABAETETUBA,1595,1595,677,0,0,0,0,1595,677,1129
11º CRS,CARAJÁS,ABEL FIGUEIREDO,86,86,83,0,0,0,0,86,60,62
2º CRS,METROPOLITANA II,ACARA,330,330,159,0,0,2,2,332,161,120
7º CRS,MARAJO I,AFUA,322,322,274,0,0,0,0,322,274,288
12º CRS,ARAGUAIA,AGUA AZUL DO NORTE,177,177,29,0,0,0,0,177,29,78
9º CRS,BAIXO AMAZONAS,ALENQUER,1281,465,270,0,0,0,0,465,270,287
9º CRS,BAIXO AMAZONAS,ALMEIRIM,608,289,241,0,0,0,0,289,241,391
10º CRS,XINGU,ALTAMIRA,4467,4377,1160,1978,0,0,0,6355,1160,1042
8º CRS,MARAJO II,ANAJAS,164,164,170,0,0,0,0,164,170,185
1º CRS,METROPOLITANA I,ANANINDEUA,6700,6700,3703,0,0,11,11,6711,3714,1612
10º CRS,XINGU,ANAPU,1112,1112,125,882,0,0,0,1994,125,121
4º CRS,RIO CAETES,AUGUSTO CORREA,308,308,238,0,0,0,0,308,81,208
5º CRS,METROPOLITANA III,AURORA DO PARA,193,193,145,0,0,0,0,193,145,136
9º CRS,TAPAJOS,AVEIRO,640,420,70,320,0,0,0,740,70,54
8º CRS,MARAJO II,BAGRE,187,187,194,0,0,0,0,187,194,183
13º CRS,TOCANTINS,BAIAO,293,294,163,87,0,0,0,381,163,225
12º CRS,ARAGUAIA,BANNACH,66,156,27,90,0,0,0,246,27,26
6º CRS,TOCANTINS,BARCARENA,1638,1638,1335,0,0,0,0,1638,1335,1219
1º CRS,METROPOLITANA I,BELEM,39033,39033,16116,0,0,172,307,39205,16423,4863
9º CRS,BAIXO AMAZONAS,BELTERRA,771,459,123,320,0,0,0,779,123,80
1º CRS,METROPOLITANA I,BENEVIDES,512,512,305,0,0,0,0,512,305,372
11º CRS,CARAJÁS,BOM JESUS DO TOCANTINS,679,679,174,508,310,0,0,1187,484,651
4º CRS,RIO CAETES,BONITO,108,108,54,0,0,0,0,108,33,50
4º CRS,RIO CAETES,BRAGANCA,1381,1381,1262,0,0,0,0,1381,656,994
10º CRS,XINGU,BRASIL NOVO,161,161,50,0,0,0,0,161,50,65
11º CRS,CARAJÁS,BREJO GRANDE DO ARAGUAIA,76,76,90,0,0,0,0,76,90,67
11º CRS,LAGO TUCURUÍ,BREU BRANCO,328,328,246,0,0,5,5,333,171,166
8º CRS,MARAJO II,BREVES,859,859,619,0,0,0,0,859,619,530
2º CRS,METROPOLITANA II,BUJARU,143,143,134,0,0,0,0,143,134,121
7º CRS,MARAJO I,CACHOEIRA DO ARARI,133,133,56,0,0,0,0,133,56,113
4º CRS,RIO CAETES,CACHOEIRA DO PIRIA,172,172,63,0,0,0,0,172,44,62
13º CRS,TOCANTINS,CAMETA,1107,1108,725,0,0,0,0,1108,725,588
11º CRS,CARAJÁS,CANAA DOS CARAJAS,644,644,434,35,0,0,0,679,321,368
4º CRS,RIO CAETES,CAPANEMA,1466,1466,686,0,0,19,19,1485,242,628
5º CRS,METROPOLITANA III,CAPITAO POCO,572,572,436,0,0,0,0,572,436,421
3º CRS,METROPOLITANA III,CASTANHAL,2481,2481,2526,0,0,38,0,2519,2526,604
7º CRS,MARAJO I,CHAVES,158,158,61,0,0,0,0,158,61,82
2º CRS,METROPOLITANA II,COLARES,115,115,71,0,0,0,0,115,71,68
12º CRS,ARAGUAIA,CONCEICAO DO ARAGUAIA,895,895,200,0,0,10,0,905,200,537
2º CRS,METROPOLITANA II,CONCORDIA DO PARA,220,220,211,0,0,0,0,220,211,159
12º CRS,ARAGUAIA,CUMARU DO NORTE,115,895,38,780,0,0,0,1675,38,42
11º CRS,CARAJÁS,CURIONOPOLIS,166,166,65,0,0,5,5,171,65,56
8º CRS,MARAJO II,CURRALINHO,151,151,126,0,0,0,0,151,126,147
9º CRS,BAIXO AMAZONAS,CURUA,218,94,78,0,0,0,0,94,78,77
3º CRS,METROPOLITANA III,CURUCA,329,329,336,0,0,0,0,329,336,292
5º CRS,CARAJÁS,DOM ELISEU,455,455,140,0,0,0,0,455,140,206
11º CRS,CARAJÁS,ELDORADO DOS CARAJAS,193,193,193,0,0,0,0,193,193,163
9º CRS,BAIXO AMAZONAS,FARO,245,153,149,0,0,0,0,153,149,117
12º CRS,ARAGUAIA,FLORESTA DO ARAGUAIA,234,234,26,0,0,0,0,234,26,77
5º CRS,METROPOLITANA III,GARRAFAO DO NORTE,387,387,121,0,0,0,0,387,121,109
11º CRS,LAGO TUCURUÍ,GOIANESIA DO PARA,321,321,182,42,37,0,0,363,196,132
8º CRS,MARAJO II,GURUPA,277,277,242,0,0,0,0,277,242,233
3º CRS,METROPOLITANA III,IGARAPE-ACU,347,347,199,0,0,0,0,347,101,233
6º CRS,TOCANTINS,IGARAPE-MIRI,476,476,266,0,0,0,0,476,266,342
3º CRS,METROPOLITANA III,INHANGAPI,100,100,351,0,0,0,0,100,351,81
5º CRS,METROPOLITANA III,IPIXUNA DO PARA,450,450,159,0,0,0,0,450,159,29
5º CRS,METROPOLITANA III,IRITUIA,236,236,220,0,0,0,0,236,220,122
9º CRS,TAPAJOS,ITAITUBA,2701,1671,653,411,101,29,26,2111,780,778
11º CRS,CARAJÁS,ITUPIRANGA,718,718,232,370,0,13,12,1101,188,275
9º CRS,TAPAJOS,JACAREACANGA,4918,4888,78,4694,0,0,0,9582,78,49
11º CRS,LAGO TUCURUÍ,JACUNDA,370,370,250,38,0,0,0,408,180,246
9º CRS,BAIXO AMAZONAS,JURUTI,1037,545,319,0,0,0,0,545,319,182
13º CRS,TOCANTINS,LIMOEIRO DO AJURU,232,232,175,0,0,0,0,232,175,113
5º CRS,METROPOLITANA III,MAE DO RIO,314,314,163,0,0,0,0,314,163,143
3º CRS,METROPOLITANA III,MAGALHAES BARATA,70,70,70,0,0,0,0,70,70,54
11º CRS,CARAJÁS,MARABA,3088,3088,2143,0,0,25,43,3113,1663,2704
3º CRS,METROPOLITANA III,MARACANA,224,224,350,0,0,0,0,224,225,74
3º CRS,METROPOLITANA III,MARAPANIM,383,383,390,0,0,0,0,383,390,313
1º CRS,METROPOLITANA I,MARITUBA,1161,1161,683,0,0,43,43,1204,726,511
10º CRS,XINGU,MEDICILANDIA,189,189,202,0,0,7,0,196,202,197
8º CRS,MARAJO II,MELGACO,256,256,152,0,0,0,0,256,152,146
13º CRS,TOCANTINS,MOCAJUBA,238,237,98,0,0,0,0,237,98,76
6º CRS,TOCANTINS,MOJU,420,420,205,87,66,0,0,507,238,212
9º CRS,BAIXO AMAZONAS,MOJUI DOS CAMPOS,378,118,52,0,0,0,0,118,52,24
9º CRS,BAIXO AMAZONAS,MONTE ALEGRE,1342,389,252,0,0,0,0,389,252,408
7º CRS,MARAJO I,MUANA,192,192,184,0,0,0,0,192,184,117
5º CRS,METROPOLITANA III,NOVA ESPERANCA DO PIRIA,138,138,118,0,0,0,0,138,118,92
11º CRS,CARAJÁS,NOVA IPIXUNA,127,127,119,0,0,0,0,127,68,76
4º CRS,RIO CAETES,NOVA TIMBOTEUA,146,146,154,0,0,0,0,146,74,55
9º CRS,TAPAJOS,NOVO PROGRESSO,1009,919,140,691,0,0,0,1610,140,144
11º CRS,LAGO TUCURUÍ,NOVO REPARTIMENTO,1213,1213,358,590,0,0,0,1803,318,302
9º CRS,BAIXO AMAZONAS,OBIDOS,1305,663,368,181,177,0,0,844,545,335
13º CRS,TOCANTINS,OEIRAS DO PARA,246,246,247,0,0,0,0,246,247,9
9º CRS,BAIXO AMAZONAS,ORIXIMINA,2898,2087,863,1450,646,0,0,3537,1252,872
4º CRS,RIO CAETES,OUREM,126,126,65,0,0,0,0,126,65,74
12º CRS,ARAGUAIA,OURILANDIA DO NORTE,593,1473,229,880,3,4,4,2357,236,135
