CRS,REGIAO_SAU,MUNICIPIO,TOTAL_VAC_FASE_1,TRAB_SAUDE_40,TRAB_SAUDE_40_VAC,INDIGENAS,INDIGENAS_VAC,MAIOR_60,MAIOR_60_VAC
9º CRS,TAPAJOS,NOVO PROGRESSO,299,120,59,691,0,0,0
11º CRS,LAGO TUCURUÍ,NOVO REPARTIMENTO,868,347,165,590,0,0,0
9º CRS,BAIXO AMAZONAS,OBIDOS,601,240,149,181,0,0,0
13º CRS,TOCANTINS,OEIRAS DO PARA,347,139,81,0,0,0,0
9º CRS,BAIXO AMAZONAS,ORIXIMINA,826,330,137,1450,0,0,0
4º CRS,RIO CAETES,OUREM,162,65,65,0,0,0,0
12ºCRS,ARAGUAIA,OURILANDIA DO NORTE,803,321,0,880,0,4,4
10º CRS,XINGU,PACAJA,345,138,72,0,0,0,0
11º CRS,CARAJÁS,PALESTINA DO PARA,104,42,36,0,0,0,0
5ºCRS,METROPOLITANA III,PARAGOMINAS,1987,795,608,777,0,18,17
11º CRS,CARAJÁS,PARAUAPEBAS,3056,1222,789,1057,0,17,0
12ºCRS,ARAGUAIA,PAU D'ARCO,142,57,27,180,0,0,0
4º CRS,RIO CAETES,PEIXE-BOI,98,39,26,0,0,0,0
11º CRS,CARAJÁS,PICARRA,151,60,19,0,0,0,0
9º CRS,BAIXO AMAZONAS,PLACAS,278,111,54,0,0,0,0
7ºCRS,MARAJO I,PONTA DE PEDRAS,234,94,67,0,0,0,0
8º CRS,MARAJO II,PORTEL,425,170,143,0,0,0,0
10º CRS,XINGU,PORTO DE MOZ,317,127,102,13,0,0,0
9º CRS,BAIXO AMAZONAS,PRAINHA,307,123,109,0,0,0,0
4º CRS,RIO CAETES,PRIMAVERA,149,60,60,0,0,0,0
4º CRS,RIO CAETES,QUATIPURU,141,56,56,0,0,0,0
12ºCRS,ARAGUAIA,REDENCAO,1754,702,450,50,0,13,0
12ºCRS,ARAGUAIA,RIO MARIA,311,124,39,0,0,0,0
11º CRS,CARAJÁS,RONDON DO PARA,507,203,169,0,0,0,0
9º CRS,TAPAJOS,RUROPOLIS,459,184,160,0,0,0,0
4º CRS,RIO CAETES,SALINOPOLIS,458,183,100,0,0,0,0
7ºCRS,MARAJO I,SALVATERRA,166,66,66,0,0,0,0
1º CRS,METROPOLITANA I,SANTA BARBARA DO PARA,273,109,79,0,0,0,0
7ºCRS,MARAJO I,SANTA CRUZ DO ARARI,157,63,63,0,0,0,0
2º CRS,METROPOLITANA II,SANTA ISABEL DO PARA,943,377,0,0,0,0,0
4º CRS,RIO CAETES,SANTA LUZIA DO PARA,260,104,96,502,0,0,0
12ºCRS,ARAGUAIA,SANTA MARIA DAS BARREIRAS,321,128,0,0,0,0,0
5ºCRS,METROPOLITANA III,SANTA MARIA DO PARA,388,155,82,286,0,0,0
12ºCRS,ARAGUAIA,SANTANA DO ARAGUAIA,478,191,0,30,0,13,0
9º CRS,BAIXO AMAZONAS,SANTAREM,6517,2607,1274,3838,0,30,52
4º CRS,RIO CAETES,SANTAREM NOVO,91,36,36,0,0,0,0
2º CRS,METROPOLITANA II,SANTO ANTONIO DO TAUA,298,119,0,0,0,0,0
2º CRS,METROPOLITANA II,SAO CAETANO DE ODIVELAS,182,73,0,0,0,0,0
11º CRS,CARAJÁS,SAO DOMINGOS DO ARAGUAIA,275,110,52,26,0,0,0
3º CRS,METROPOLITANA III,SAO DOMINGOS DO CAPIM,304,122,76,0,0,0,0
12ºCRS,ARAGUAIA,SAO FELIX DO XINGU,861,344,229,752,0,19,3
3º CRS,METROPOLITANA III,SAO FRANCISCO DO PARA,255,102,64,0,0,0,0
11º CRS,CARAJÁS,SAO GERALDO DO ARAGUAIA,308,123,55,240,0,0,0
3º CRS,METROPOLITANA III,SAO JOAO DA PONTA,73,29,13,0,0,0,0
4º CRS,RIO CAETES,SAO JOAO DE PIRABAS,228,91,58,0,0,0,0
11º CRS,CARAJÁS,SAO JOAO DO ARAGUAIA,230,92,61,0,0,0,0
5ºCRS,METROPOLITANA III,SAO MIGUEL DO GUAMA,653,261,158,0,0,0,0
7ºCRS,MARAJO I,SAO SEBASTIAO DA BOA VISTA,308,123,0,0,0,0,0
12ºCRS,ARAGUAIA,SAPUCAIA,117,47,27,0,0,15,8
10º CRS,XINGU,SENADOR JOSE PORFIRIO,164,66,35,544,0,0,0
7ºCRS,MARAJO I,SOURE,277,111,80,0,0,0,0
6º CRS,LAGO TUCURUÍ,TAILANDIA,884,354,105,0,0,0,0
3º CRS,METROPOLITANA III,TERRA ALTA,121,48,38,0,0,0,0
9º CRS,BAIXO AMAZONAS,TERRA SANTA,245,98,75,0,0,0,0
2º CRS,METROPOLITANA II,TOME-ACU,798,319,112,357,4,4,0
4º CRS,RIO CAETES,TRACUATEUA,488,195,85,0,0,0,0
9º CRS,TAPAJOS,TRAIRAO,195,78,32,84,0,0,0
12ºCRS,ARAGUAIA,TUCUMA,834,334,70,0,0,0,0
11º CRS,LAGO TUCURUÍ,TUCURUI,2073,829,150,267,0,13,0
5ºCRS,METROPOLITANA III,ULIANOPOLIS,712,285,110,0,0,0,0
10º CRS,XINGU,URUARA,501,200,65,0,0,0,0
2º CRS,METROPOLITANA II,VIGIA,610,244,0,0,0,0,0
4º CRS,RIO CAETES,VISEU,649,260,67,0,0,0,0
10º CRS,XINGU,VITORIA DO XINGU,347,139,0,283,0,0,0
12ºCRS,ARAGUAIA,XINGUARA,887,355,0,0,0,8,0
TOTAL,,,145296,58011,19845,23712,4,526,110
